scenario_id,subsystem,scenario,fault_injected,expected_behavior,started_at_utc,completed_at_utc,duration_ms,detected,recovered,application_running,data_preserved,silent_data_loss,actual_behavior,error_type,error_message,result
SPD-01,speed,Valid speed,none,"Correct fallback, stationary, adaptive, or capped rate is selected",2026-08-05T17:26:24.772Z,2026-08-05T17:26:24.772Z,0.036,True,True,True,True,False,Mode=adaptive_distance; rate=0.500 images/s,,,PASS
SPD-02,speed,Missing speed,missing speed,"Correct fallback, stationary, adaptive, or capped rate is selected",2026-08-05T17:26:24.772Z,2026-08-05T17:26:24.772Z,0.009,True,True,True,True,False,Mode=fixed_rate_fallback; rate=0.200 images/s,,,PASS
SPD-03,speed,Stale speed,stale speed,"Correct fallback, stationary, adaptive, or capped rate is selected",2026-08-05T17:26:24.772Z,2026-08-05T17:26:24.772Z,0.011,True,True,True,True,False,Mode=fixed_rate_fallback; rate=0.200 images/s,,,PASS
SPD-04,speed,Negative speed,invalid negative speed,"Correct fallback, stationary, adaptive, or capped rate is selected",2026-08-05T17:26:24.772Z,2026-08-05T17:26:24.772Z,0.014,True,True,True,True,False,Mode=fixed_rate_fallback; rate=0.200 images/s,,,PASS
SPD-05,speed,Stationary speed,below movement threshold,"Correct fallback, stationary, adaptive, or capped rate is selected",2026-08-05T17:26:24.772Z,2026-08-05T17:26:24.772Z,0.015,True,True,True,True,False,Mode=stationary; rate=0.000 images/s,,,PASS
SPD-06,speed,High speed rate cap,rate above maximum,"Correct fallback, stationary, adaptive, or capped rate is selected",2026-08-05T17:26:24.772Z,2026-08-05T17:26:24.772Z,0.013,True,True,True,True,False,Mode=adaptive_distance; rate=1.000 images/s,,,PASS
SPD-07,speed,Speed recovery,fresh speed restored,"Correct fallback, stationary, adaptive, or capped rate is selected",2026-08-05T17:26:24.772Z,2026-08-05T17:26:24.772Z,0.012,True,True,True,True,False,Mode=adaptive_distance; rate=1.000 images/s,,,PASS
STO-01,storage,Normal write,none,Image and metadata write atomically,2026-08-05T17:26:24.772Z,2026-08-05T17:26:24.795Z,23.126,True,True,True,True,False,Normal atomic image and metadata write succeeded,,,PASS
STO-02,storage,Image write failure,simulated EIO,Failure is detected with no false success file,2026-08-05T17:26:24.796Z,2026-08-05T17:26:24.796Z,0.093,True,True,True,True,False,Image write failure detected; no false final image created,,,PASS
STO-03,storage,Metadata write failure,simulated metadata EIO,Preserve image and create recovery record,2026-08-05T17:26:24.796Z,2026-08-05T17:26:24.802Z,6.409,True,True,True,True,False,Image preserved and recovery record written after metadata failure,,,PASS
STO-04,storage,Disk-full condition,simulated ENOSPC,Detect disk full without touching real capacity,2026-08-05T17:26:24.802Z,2026-08-05T17:26:24.802Z,0.037,True,True,True,True,False,Simulated disk-full error detected without filling the real drive,,,PASS
STO-05,storage,Interrupted temporary write,partial .tmp file,Remove partial files and continue,2026-08-05T17:26:24.803Z,2026-08-05T17:26:24.804Z,1.784,True,True,True,True,False,Interrupted temporary write detected; partial files removed,,,PASS
STO-06,storage,Storage recovery,storage restored,Normal write succeeds after failures,2026-08-05T17:26:24.805Z,2026-08-05T17:26:24.827Z,22.121,True,True,True,True,False,Normal storage resumed after failures,,,PASS
NET-01,network,Normal upload,none,Upload succeeds or remains safely queued,2026-08-05T17:26:24.827Z,2026-08-05T17:26:24.827Z,0.008,True,True,True,True,False,Upload completed,,,PASS
NET-02,network,Network unavailable,connection refused,Upload succeeds or remains safely queued,2026-08-05T17:26:24.827Z,2026-08-05T17:26:24.827Z,0.006,True,True,True,True,False,Failure detected; item stayed queued,,,PASS
NET-03,network,Network timeout,timeout,Upload succeeds or remains safely queued,2026-08-05T17:26:24.827Z,2026-08-05T17:26:24.827Z,0.005,True,True,True,True,False,Failure detected; item stayed queued,,,PASS
NET-04,network,Server error,HTTP 500,Upload succeeds or remains safely queued,2026-08-05T17:26:24.827Z,2026-08-05T17:26:24.827Z,0.005,True,True,True,True,False,Failure detected; item stayed queued,,,PASS
NET-05,network,Interrupted transfer,connection aborted,Upload succeeds or remains safely queued,2026-08-05T17:26:24.827Z,2026-08-05T17:26:24.827Z,0.005,True,True,True,True,False,Failure detected; item stayed queued,,,PASS
NET-06,network,Network recovery,connectivity restored,Every queued item uploads and no item remains pending,2026-08-05T17:26:24.827Z,2026-08-05T17:26:24.827Z,0.018,True,True,True,True,False,Uploaded 4 queued items; remaining=0,,,PASS
APP-01,application,Final post-failure health check,none,System remains operational after all injected faults,2026-08-05T17:26:24.827Z,2026-08-05T17:26:24.874Z,46.638,True,True,True,True,False,Final camera/storage/network health check passed (valid_jpeg),,,PASS
